epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,2559.32,1.05904,0.67662,1.00712,0.79867,0.85571,0.84877,0.50911,1.45105,0.98402,1.20782,0.003994,0.003994,0.003994
93,2586.96,1.06281,0.6675,1.00389,0.7603,0.80992,0.8132,0.50065,1.44933,0.97507,1.19883,0.003928,0.003928,0.003928
94,2614.14,1.04768,0.65819,0.99841,0.80234,0.84312,0.84694,0.51248,1.46863,0.9651,1.20892,0.003862,0.003862,0.003862
95,2641.34,1.05504,0.66693,1.0012,0.78472,0.83657,0.84129,0.51856,1.45107,0.96198,1.20523,0.003796,0.003796,0.003796
96,2668.78,1.0394,0.63207,0.9944,0.78078,0.8559,0.84972,0.53206,1.44449,0.94001,1.19726,0.00373,0.00373,0.00373
97,2696.24,1.06861,0.66402,1.00363,0.79946,0.84397,0.84647,0.52215,1.47424,0.9798,1.21767,0.003664,0.003664,0.003664
98,2724.05,1.03547,0.64955,0.9947,0.83019,0.8136,0.84816,0.52701,1.4536,0.96084,1.20079,0.003598,0.003598,0.003598
99,2751.82,1.01511,0.6223,0.98958,0.81318,0.85234,0.85211,0.52223,1.46605,0.98752,1.20872,0.003532,0.003532,0.003532
100,2779.62,1.03103,0.63733,0.99086,0.82699,0.83621,0.8563,0.52248,1.44764,0.95579,1.19763,0.003466,0.003466,0.003466
101,2808.04,1.04072,0.64162,0.99895,0.84213,0.82983,0.85533,0.50524,1.47842,0.96605,1.22239,0.0034,0.0034,0.0034
102,2836.23,1.02694,0.6433,0.99232,0.79929,0.84514,0.85687,0.51237,1.47434,0.96664,1.21654,0.003334,0.003334,0.003334
103,2863.13,0.99628,0.63108,0.98314,0.83728,0.84639,0.86249,0.51922,1.4525,0.94869,1.21152,0.003268,0.003268,0.003268
104,2891.17,1.02748,0.62765,0.98638,0.83807,0.83015,0.85148,0.519,1.45081,0.99127,1.2107,0.003202,0.003202,0.003202
105,2919.69,1.01347,0.6305,0.98738,0.78102,0.84467,0.84423,0.51496,1.45961,0.98068,1.21557,0.003136,0.003136,0.003136
106,2947.65,1.01404,0.6169,0.99031,0.82915,0.84803,0.85694,0.52093,1.46127,0.96336,1.21203,0.00307,0.00307,0.00307
107,2975.42,1.00337,0.60925,0.9795,0.83308,0.83869,0.85974,0.51852,1.46125,0.9348,1.21656,0.003004,0.003004,0.003004
108,3002.99,1.01115,0.63994,0.98312,0.79453,0.8309,0.83545,0.50523,1.46078,0.98527,1.20639,0.002938,0.002938,0.002938
109,3031.05,0.99737,0.60817,0.98127,0.8115,0.84477,0.84091,0.5184,1.44359,0.93453,1.20881,0.002872,0.002872,0.002872
110,3059.43,1.01576,0.62068,0.98642,0.81015,0.85048,0.84719,0.52542,1.47595,0.97084,1.22309,0.002806,0.002806,0.002806
111,3086.26,0.98791,0.60213,0.97745,0.82863,0.83164,0.85274,0.52253,1.44719,0.98213,1.20845,0.00274,0.00274,0.00274
